Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
10.3,30.1,29.5,28,26.5,47.6,2.2,0,0
10.4,30.1,29.5,28,26.5,48.1,1.7,0,0
10.5,30.2,29.5,28,26.5,47.4,2,0,0
10.6,30.2,29.4,27.9,26.5,47.9,2,0,0
10.7,30.2,29.4,27.9,26.5,47.4,2,0,0
10.8,30.3,29.5,28,26.6,47.9,2.4,0,0
10.9,30.3,29.5,28,26.6,47.4,2,0,0
11,30.4,29.6,28.1,26.7,47.4,2,0,0
11.1,30.2,29.4,28,26.6,47.4,2,0,0
11.2,30.2,29.4,28,26.6,48.1,2,0,0
11.3,30.2,29.4,27.9,26.5,47.9,-0.1,0,0
11.4,30.2,29.4,27.9,26.5,47.9,1.7,0,0
11.5,30.2,29.5,28,26.6,47.4,2,0,0
11.6,30.2,29.4,28,26.6,47.6,2,0,0
11.7,30.2,29.4,28,26.6,48.1,0.5,0,0
11.8,30.3,29.4,28,26.5,47.9,2,0,0
11.9,30.3,29.5,28,26.5,47.6,2,0,0
12,30.3,29.5,28,26.5,47.6,2,0,0
12.1,30.2,29.5,27.9,26.6,47.9,2.2,0,0
12.2,30.2,29.5,28,26.6,47.6,3.4,0,0
12.3,30.2,29.5,28,26.6,48.4,1.9,0,0
12.4,30.2,29.5,28,26.5,48.1,1.7,0,0
12.5,30.2,29.5,28,26.5,48.1,1.6,0,0
12.6,30.3,29.4,28,26.6,47.9,1.6,0,0
12.7,30.2,29.4,28.1,26.5,48.1,2.2,0,0
12.8,30.2,29.4,28.1,26.5,47.4,2,0,0
12.9,30.2,29.5,28,26.6,48.4,2.5,0,0
13,30.1,29.6,28,26.6,48.4,2.5,0,0
13.1,30.1,29.6,28,26.6,47.9,2.4,0,0
13.2,30.2,29.4,28.1,26.6,47.3,2.2,0,0
13.3,30.2,29.4,28.1,26.6,48.2,3,0,0
13.4,30.2,29.4,27.9,26.5,47.3,2,0,0
13.5,30.2,29.3,28,26.5,47.9,1.6,0,0
13.6,30.2,29.3,28,26.5,47.9,1.9,0,0
13.7,30.2,29.5,28,26.5,47.4,2.2,0,0
13.8,30.1,29.4,28,26.4,47.4,1.6,0,0
13.9,30.1,29.4,28,26.4,48.1,2.5,0,0
14,30.1,29.5,28,26.5,48.1,2.5,0,0
14.1,30.2,29.4,28,26.6,48.2,2.2,0,0
14.2,30.2,29.4,28,26.6,47.6,1.6,0,0
14.3,30.1,29.4,28,26.4,48.2,1.6,0,0
14.4,30.2,29.4,28,26.5,47.9,1.7,0,0
14.5,30.2,29.4,28,26.5,47.9,2,0,0
14.6,30.3,29.4,28,26.6,48.1,2.4,0,0
14.7,30.3,29.4,28,26.6,47.9,2,0,0
14.8,30.2,29.6,28,26.5,48.2,2.2,0,0
14.9,30.1,29.5,28,26.6,48.2,2.2,0,0
15,30.1,29.5,28,26.6,47.4,2.2,0,0
15.1,30.3,29.3,28,26.5,47.7,2,0,0
15.2,30.3,29.4,28,26.5,47.9,1.7,0,0
15.3,30.3,29.4,28,26.5,47.4,2,0,0
15.4,30.1,29.4,28,26.5,47.9,2.5,0,0
15.5,30.2,29.4,28,26.6,48.1,2.2,0,0
15.6,30.2,29.4,28,26.6,48.1,1.9,0,0
15.7,30.2,29.4,27.9,26.5,47.7,2.7,0,0
15.8,30.1,29.4,27.8,26.5,47.9,1.4,0,0
15.9,30.1,29.4,27.8,26.5,47.9,1.4,0,0
16,30.3,29.5,28.1,26.6,47.7,1.9,0,0
16.1,30.3,29.5,28.1,26.6,47.9,2,0,0
16.2,30,29.4,28,26.5,47.7,1.9,0,0
16.3,30.2,29.4,28.1,26.5,47.9,2.2,0,0
16.4,30.2,29.4,28.1,26.5,47.7,2,0,0
16.5,30.3,29.4,28,26.5,47.7,2.2,0,0
16.6,30.3,29.4,28,26.5,47.9,2.2,0,0
16.7,30.3,29.4,28,26.5,47.6,1.6,0,0
16.8,30.1,29.3,27.9,26.4,47.9,2.4,0,0
16.9,30.3,29.6,28.1,26.7,47.9,2.4,0,0
17,30.3,29.6,28.1,26.7,47.6,1.6,0,0
17.1,30.3,29.4,28,26.6,47.7,2.2,0,0
17.2,30.3,29.4,28,26.6,47.6,2,0,0
17.3,30.4,29.5,28.2,26.6,47.9,1.9,0,0
17.4,30.2,29.4,27.9,26.5,47.7,2.4,0,0
17.5,30.2,29.4,27.9,26.5,47.9,2,0,0
17.6,30.3,29.5,28.1,26.6,47.9,2.2,0,0
17.7,30.3,29.4,28,26.4,48.1,1.7,0,0
17.8,30.3,29.4,28,26.4,48.1,1.7,0,0
17.9,30.2,29.3,28,26.5,47.9,1.9,0,0
18,30.3,29.4,28,26.6,48.1,2.4,0,0
18.1,30.3,29.4,28,26.6,47.9,1.7,0,0
18.2,30.2,29.4,28.1,26.4,47.9,2,0,0
